Epitaphium Thomae Archidiaconis, versio electronica	Anonymus	1268	poesis - epitaphium; poesis - inscriptio; poesis - epigramma		Split	8 versus, verborum 60	Bratislav Lučin		1268-05-08	fl. 1268	poesis paratextus prosaici		croala			Litterae medii aevi (700-1400) Saeculum 13 (1201-1300) 1251-1300	nnthomaarchid	nn-thoma-archid.xml	4122	19
Epitaphium Leonis Spalatensis, versio electronica	Anonymus	1296	poesis - epitaphium; poesis - inscriptio; poesis - epigramma		Split	9 versus, verborum 97	Bratislav Lučin		1296-09-20	fl. 1296	poesis paratextus prosaici		croala			Litterae medii aevi (700-1400) Saeculum 13 (1201-1300) 1251-1300	nnleonisspalatensisepit	nn-leonis-spalatensis-epit.xml	4470	20
Prohemium statutorum Spalati, versio electronica	Perceval Ivanov iz Ferma	1312	prosa oratio – praefatio; poesis - carmen			1216 verborum, 44 versus	J. J. Hanel		1312	c. 1312	prosa poesis		croala			Litterae medii aevi (700-1400) Saeculum 14 (1301-1400) 1301-1351	percevalprohem	perceval-prohem.xml	16302	21
Miletii versus, versio electronica	Milecije	1340	poesis - historia			91 versus, verborum 573	Stjepan Krasić		1340	c. 1340	poesis		croala			Litterae medii aevi (700-1400) Saeculum 14 (1301-1400) 1301-1350	miletversus	milet-versus.xml	10410	22
Obsidio Iadrensis, versio electronica	Anonymus	1346	prosa oratio – historia			Verborum 22573	Veljko Gortan; Branimir Glavičić; Vladimir Vratović		1346	floruit 1346-1353	prosa		croala			Litterae medii aevi (700-1400) Saeculum 14 (1301-1400)	anonymusobsidioiadrensis	anonymus-obsidio-iadrensis.xml	186963	23
Inscriptio sepulcri comitis Mladini, versio electronica	Anonymus	1348	poesis - inscriptio; poesis - epitaphium		Trogir	126 verborum, 22 versus	Veljko Gortan		1348-05-01	floruit 1020	poesis		croala			Litterae medii aevi (700-1400) Saeculum 14 (1301-1400) 1301-1350	nnmladini	nn-mladini.xml	4328	24
De gestis Romanorum imperatorum atque pontificum, caput XV, versio electronica	Madijev de Barbazanis, Miha	1358	prosa oratio - historia			471 verborum	Ivan Lučić		1358	c. 1280 - post 1358	prosa		croala			Litterae medii aevi (700-1400) Saeculum 14 (1301-1400) 1301-1350	madijevmdgrip	madijev-m-dgrip.xml	8138	25
Memoriale, versio electronica	Pavlović, Pavao	1371	prosa oratio - chronica			Verborum 12550	Ferdo Šišić		1371	1347-1416	prosa		croala			Litterae medii aevi (700-1400) Saeculum 14 (1301-1400) Saeculum 15 (1401-1500) 1351-1400 1401-1450	paulopmemoriale	paulo-p-memoriale.xml	113998	26
Braciae Insulae Descriptio, versio electronica	Hranković, Dujam	1405	prosa oratio - descriptio		Nerezi Braciae	Verborum 899	Vedran Gligo ; Hrvoje Morović ; Karlo Kadlec		1405	m. 1422	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	hrankdbracia	hrank-d-bracia.xml	10212	27
Doctrina rebusque gerendis ornatissimo uiro Baptistae Bauiloquae Georgius de Georgiis plurimam salutem dicit, versio electronica.	Jurjević, Juraj	1418	prosa oratio - epistula		Venecija	Verborum 755	Neven Jovanović		1418-06-01	fl. 1400	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	jurjevicjepist14180601	jurjevic-j-epist-1418-06-01.xml	10407	28
Inscriptio in arcum restitutum, versio electronica	Kršava, Petar	1434	prosa oratio – inscriptio		Zadar	Verborum 46	Neven Jovanović		1434-11-13	fl. 1434	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	krsavaparcus	krsava-p-arcus.xml	2929	29
Epistulae V ad Mapheum Vallaressum, versio electronica.	Sobota, Ivan	1438	prosa oratio - epistula		Trogir	Verborum 672	Arnaldo Segarizzi		1438	m. 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	sobotaiepistvallar5	sobota-i-epist-vallar-5.xml	8931	30
Epistula ad Mapheum Vallaressum (Tragurii, 1438), versio electronica.	Sobota, Ivan	1438	prosa oratio - epistula		Trogir	Verborum 255	Darko Novaković		1438-07-15	m. 1467	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	sobotaiepist14380715	sobota-i-epist-1438-07-15.xml	4625	31
Joannis de Hunyad virtus et character militaris, una rei praelio ad Varnam gestae series, sinistri exitus causae ac subsidiorum petitio, versio electronica	Vitez od Sredne, Ivan	1445	prosa oratio - epistula		Pesth	Verborum 977	György Fejér		1445-05-11	c. 1405-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	viteziepist1445	vitez-i-epist-1445.xml	10218	32
Diomedis et Glauci congressus, versio electronica	Jan Panonije	1447	poesis - epica; poesis - versio; poesis - fragmentum		Italia; Hungaria	121 versus, verborum 831	Samuel Teleki Alexander Kovaczai		1447	1434-1472	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpandiomed	ian-pan-diomed.xml	13852	33
Epigrammata et elegiae, versio electronica	Jan Panonije	1447	poesis - epigramma; poesis - elegia; poesis - carmen		Italia; Hungaria	5735 versus, verborum 37748	Sándor Kovács		1447	1434-1472	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	ianpanepigreleg	ian-pan-epigr-eleg.xml	580518	34
Epistolae duo a. 1448, versio electronica	Vitez od Sredne, Ivan	1448	prosa oratio - epistula		Servia; Segedinum	Verborum 1682	György Fejér		1448-09-17	c. 1405-1472	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	viteziepist1448	vitez-i-epist-1448.xml	15471	35
Documenta de ecclesia Sibenicensi a. 1449, versio electronica	Grad Šibenik	1449	prosa - acta officialia			Verborum 1210	Vincenzo Miagostovich		1449-03	1449	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	documentaecclsibenic	documenta-eccl-sibenic.xml	13418	36
Documenta de ecclesia Sibenicensi a. 1449, versio electronica	Šižgorić, Juraj (stariji)	1449	prosa - acta officialia; prosa - epistula			Verborum 1087	Vincenzo Miagostovich		1449-05-26	biskup 1437-1454	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1401-1450	sizgorjdocumentasibenic	sizgor-j-documenta-sibenic.xml	12330	37
Ad puerum forma superbientem elegia, versio electronica	Andreis Trogiranin	1450	poesis - elegia			48 versus, verborum 298	Bratislav Lučin; Neven Jovanović		1450	c. 1500?	poesis		croala			Litterae renatae (1400-1600) Saeculum 15 Saeculum 16	andronictragelegia	andronic-trag-elegia.xml	5737	38
Scripta varia, versio electronica	Biličić, Stjepan	1450	prosa oratio - fabula; prosa oratio - chronica		Šibenik	Verborum 887	Neven Jovanović		1450	floruit 1450	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500)	bilicicscronica	bilicic-s-cronica.xml	12040	39
Sobotarum epitaphium, versio electronica	Sobota, Katarina	1451	prosa oratio - inscriptio		Trogir	Verborum 2575	Pavao Andreis		1451	c. 1469	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	sobotacinscriptio	sobota-c-inscriptio.xml	3650	40
Clarissimo Equiti D. Francisco Barbaro S., versio electronica	Rastić, Nikola	1451	prosa oratio - epistola		Dubrovnik	Verborum 532	Angelo Maria Quirini		1451-01-11	c. 1418.–1454.	prosa		croala			Litterae renatae (1400-1600) Saeculum 15 (1401-1500) 1451-1500	rasticnepist	rastic-n-epist.xml	7114	41
